ID OMM station;direction moyenne; vitesse moyenne;X;Y
89642;130.389339;8.724909;-66.663167;140.001
81415;84.299398;1.299724;3.640167;-54.028333
81408;111.866554;1.277460;3.890667;-51.804667
81405;89.144563;2.368127;4.822333;-52.365333
81401;82.127586;1.417881;5.4855;-54.031667
78925;85.151275;4.412502;14.595333;-60.995667
78922;109.543997;6.879293;14.7745;-60.875333
78897;103.296338;3.398155;16.264;-61.516333
78894;90.123582;5.041915;17.9015;-62.852167
78890;92.933553;7.474146;16.335;-61.004
71805;203.268774;7.134288;46.766333;-56.179167
67005;185.126335;3.717170;-12.8055;45.282833
61998;257.363603;9.574580;-49.352333;70.243333
61997;255.830899;10.453420;-46.4325;51.856667
61996;238.763144;7.022189;-37.795167;77.569167
61980;129.230922;5.630721;-20.8925;55.528667
61976;124.966548;6.594471;-15.887667;54.520667
61972;162.115154;4.497833;-22.344167;40.340667
61970;181.776957;4.056268;-17.054667;42.712
61968;124.080148;2.513236;-11.582667;47.289667
7790;186.104228;2.765863;42.540667;9.485167
7761;123.913032;3.099600;41.918;8.792667
7747;231.849238;4.489658;42.737167;2.872833
7690;229.871991;3.875506;43.648833;7.209
7661;196.035179;6.015674;43.079333;5.940833
7650;212.358110;4.658132;43.437667;5.216
7643;192.893413;4.144990;43.577;3.963167
7630;219.471886;3.834343;43.621;1.378833
7627;186.323905;1.970118;43.005333;1.106833
7621;195.734944;2.684664;43.188;0.0
7607;181.015147;2.355958;43.909833;-0.500167
7591;135.305131;2.832872;44.565667;6.502333
7577;99.261664;3.588837;44.581167;4.733
7558;203.026100;4.580647;44.1185;3.0195
7535;196.092295;2.121791;44.745;1.396667
7510;188.246751;3.264620;44.830667;-0.691333
7481;205.999570;3.419303;45.7265;5.077833
7471;200.169019;2.590163;45.0745;3.764
7460;173.861957;2.726404;45.786833;3.149333
7434;172.327235;3.383799;45.861167;1.175
7335;187.639229;3.603390;46.593833;0.314333
7314;192.506869;5.469196;46.046833;-1.4115
7299;211.988698;2.570120;47.614333;7.51
7280;192.269290;3.066626;47.267833;5.088333
7255;182.326238;3.054623;47.059167;2.359833
7240;182.528175;3.404447;47.4445;0.727333
7222;179.722887;3.381114;47.15;-1.608833
7207;193.935496;6.159887;47.294333;-3.218333
7190;189.497849;2.817659;48.5495;7.640333
7181;183.950724;3.537752;48.581;5.959833
7168;196.989349;3.441510;48.324667;4.02
7149;183.965582;3.492708;48.716833;2.384333
7139;167.298448;3.171079;48.4455;0.110167
7130;198.423408;3.471209;48.068833;-1.734
7117;189.941109;4.995897;48.825833;-3.473167
7110;192.977845;4.616201;48.444167;-4.412
7072;187.034028;3.042390;49.209667;4.155333
7037;185.331095;3.945455;49.383;1.181667
7027;196.829447;4.185466;49.18;-0.456167
7020;187.886933;6.748044;49.725167;-1.939833
7015;184.461187;4.142333;50.57;3.0975
7005;187.119456;3.880187;50.136;1.834
